,no,distribution,ratings_count,imdb_rating,title_year,movie_year,movie_title,imdb_id,douban_id,douban_rating,douban_ratings_count,douban_title,genre1,genre2,genre3
258,794,1221000,10678,5.3,Blood: The Last Vampire (2009),2009,Blood: The Last Vampire,tt0806027,1940459,4.8,5510,Blood: The Last Vampire,Animation,Action,Action
259,799,2311,140891,7.5,Blow (2001),2001,Blow,tt0221027,1304490,7.8,10592,Blow,Action,Horror,Horror
260,803,1211,29286,7.6,Blowup (1966),1966,Blowup,tt0060176,1310176,8.4,11414,BLOW-UP,Biography,Crime,Crime
261,808,122100,45236,6.0,Blue Streak (1999),1999,Blue Streak,tt0181316,1297260,7.3,6727,Blue Streak,Drama,Mystery,Mystery
262,810,12211,94357,7.4,Blue Valentine (2010),2010,Blue Valentine,tt1120985,2974278,7.7,43299,Blue Valentine,Action,Comedy,Comedy
263,811,1211,91421,7.8,Blue Velvet (1986),1986,Blue Velvet,tt0090756,1298697,7.4,16657,Blue Velvet,Drama,Romance,Romance
264,815,12101,5796,6.5,Bo bui gai wak (2006),2006,Bo bui gai wak,tt0485976,1859036,6.9,135633,宝贝计划,Crime,Mystery,Mystery
265,824,13200,123412,7.1,Body of Lies (2008),2008,Body of Lies,tt0758774,2091015,6.8,13632,Body of Lies,Action,Comedy,Comedy
266,826,121000,6430,5.7,Boh lei chun (1999),1999,Boh lei chun,tt0184526,1306541,6.2,27047,玻璃樽,Action,Drama,Drama
267,828,2311,31829,7.7,Boksuneun naui geot (2002),2002,Boksuneun naui geot,tt0310775,1304026,8.0,14354,복수는 나의 것,Action,Romance,Romance
268,829,13200,95791,7.0,Bolt (2008),2008,Bolt,tt0397892,1793912,7.2,62858,Bolt,Crime,Drama,Drama
269,830,1222,41049,8.0,Bom yeoreum gaeul gyeoul geurigo bom (2003),2003,Bom yeoreum gaeul gyeoul geurigo bom,tt0374546,1316580,8.5,27953,봄 여름 가을 겨울 그리고 봄,Animation,Adventure,Adventure
270,832,1311,60830,8.0,Bonnie and Clyde (1967),1967,Bonnie and Clyde,tt0061418,1294584,8.3,12581,Bonnie and Clyde,Drama,,
271,834,1211,131844,7.8,Boogie Nights (1997),1997,Boogie Nights,tt0118749,1292965,7.4,6907,Boogie Nights,Biography,Crime,Crime
272,838,1211,224231,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,tt0443453,1870044,7.4,25143,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Drama,,
273,844,13210,54539,7.1,Born on the Fourth of July (1989),1989,Born on the Fourth of July,tt0096969,1292874,7.6,5783,Born on the Fourth of July,Comedy,,
274,849,12211,31441,7.4,Bound (1996),1996,Bound,tt0115736,1292449,8.1,9412,Bound,Biography,Drama,Drama
275,851,12201,6070,7.0,Boundin' (2003),2003,Boundin',tt0395479,1470603,7.7,16346,Boundin',Crime,Drama,Drama
276,855,2311,26128,7.7,Boy A (2007),2007,Boy A,tt1078188,2251569,8.2,16480,Boy A,Animation,Short,Short
277,857,2211,57469,7.5,Boys Don't Cry (1999),1999,Boys Don't Cry,tt0171804,1300528,8.0,23469,Boys Don't Cry,Drama,,
278,861,1212,59271,7.5,Braindead (1992),1992,Braindead,tt0103873,1300377,7.7,13104,Braindead,Biography,Drama,Drama
279,869,12211,142516,7.2,Brave (2012),2012,Brave,tt1217209,3036473,7.4,55489,Brave,Comedy,Horror,Horror
280,870,1223,464892,8.4,Braveheart (1995),1995,Braveheart,tt0112573,1294639,8.7,200433,Braveheart,Animation,Action,Action
281,871,1222,114660,8.0,Brazil (1985),1985,Brazil,tt0088846,1293823,8.2,6229,Brazil,Action,Biography,Biography
282,874,1211,80530,7.7,Breakfast at Tiffany's (1961),1961,Breakfast at Tiffany's,tt0054698,1325958,8.1,73503,Breakfast at Tiffany's,Drama,Fantasy,Fantasy
283,876,12211,13879,7.1,Breakfast on Pluto (2005),2005,Breakfast on Pluto,tt0411195,1449845,8.3,7436,Breakfast on Pluto,Comedy,Drama,Drama
284,878,22100,16499,6.5,Breaking and Entering (2006),2006,Breaking and Entering,tt0443456,1783774,7.4,9118,Breaking and Entering,Comedy,Drama,Drama
285,879,1222,34954,7.8,Breaking the Waves (1996),1996,Breaking the Waves,tt0115751,1292468,8.2,5969,Breaking the Waves,Drama,Romance,Romance
286,883,1221000,48834,5.1,Bride Wars (2009),2009,Bride Wars,tt0901476,2054026,6.5,55295,Bride Wars,Drama,Romance,Romance
287,887,12100,7504,6.6,Brideshead Revisited (2008),2008,Brideshead Revisited,tt0412536,2034997,7.5,13330,Brideshead Revisited,Comedy,Romance,Romance
288,888,12211,150727,6.8,Bridesmaids (2011),2011,Bridesmaids,tt1478338,3880545,6.7,42066,Bridesmaids,Drama,Romance,Romance
289,889,12211,74315,7.2,Bridge to Terabithia (2007),2007,Bridge to Terabithia,tt0398808,1860745,7.6,37839,Bridge to Terabithia,Comedy,Romance,Romance
290,890,12100,115280,6.7,Bridget Jones's Diary (2001),2001,Bridget Jones's Diary,tt0243155,1304585,7.4,90962,Bridget Jones's Diary,Adventure,Drama,Drama
291,891,121100,47792,5.7,Bridget Jones: The Edge of Reason (2004),2004,Bridget Jones: The Edge of Reason,tt0317198,1308819,7.2,45947,Bridget Jones: The Edge of Reason,Comedy,Drama,Drama
292,893,12211,15597,6.9,Bright Star (2009),2009,Bright Star,tt0810784,2072848,7.5,22787,Bright Star,Comedy,Romance,Romance
293,905,1212,194583,7.6,Brokeback Mountain (2005),2005,Brokeback Mountain,tt0388795,1418834,8.3,190289,Brokeback Mountain,Biography,Drama,Drama
294,907,122100,60782,5.9,Broken Arrow (1996),1996,Broken Arrow,tt0115759,1293317,7.1,26112,Broken Arrow,Drama,Romance,Romance
295,910,12210,61240,7.2,Broken Flowers (2005),2005,Broken Flowers,tt0412019,1416435,7.8,7203,Broken Flowers,Action,Thriller,Thriller
296,912,1212,29287,8.0,Bronenosets Potyomkin (1925),1925,Bronenosets Potyomkin,tt0015648,1293492,8.6,5930,Броненосец Потёмкин,Comedy,Drama,Drama
297,914,23100,42119,6.7,Brooklyn's Finest (2009),2009,Brooklyn's Finest,tt1210042,3057495,7.3,5541,Brooklyn's Finest,Drama,History,History
298,919,23100,196210,6.6,Bruce Almighty (2003),2003,Bruce Almighty,tt0315327,1297018,7.3,82955,Bruce Almighty,Crime,Drama,Drama
299,921,111101,91582,5.9,Brüno (2009),2009,Brüno,tt0889583,2257740,6.5,10437,Brüno,Comedy,Drama,Drama
300,928,2211,27667,7.3,Buffalo '66 (1998),1998,Buffalo '66,tt0118789,1297311,8.5,12915,Buffalo '66,Comedy,,
301,937,1221000,33426,5.3,Bulletproof Monk (2003),2003,Bulletproof Monk,tt0245803,1303693,5.0,11143,Bulletproof Monk,Comedy,Crime,Crime
302,944,12210,85732,7.0,Buried (2010),2010,Buried,tt1462758,3819877,7.6,37686,Buried,Action,Comedy,Comedy
303,947,12210,176430,7.0,Burn After Reading (2008),2008,Burn After Reading,tt0887883,2054933,7.0,45469,Burn After Reading,Drama,Mystery,Mystery
304,950,1321,98820,8.2,Butch Cassidy and the Sundance Kid (1969),1969,Butch Cassidy and the Sundance Kid,tt0064115,1297602,8.7,5471,Butch Cassidy and the Sundance Kid,Comedy,Crime,Crime
305,954,1222,13650,7.8,Byôsoku 5 senchimêtoru (2007),2007,Byôsoku 5 senchimêtoru,tt0983213,2043546,8.5,156392,秒速5センチメートル,Adventure,Biography,Biography
306,955,123,141173,8.7,C'era una volta il West (1968),1968,C'era una volta il West,tt0064116,1293394,8.6,9943,C'era una volta il West,Animation,Drama,Drama
307,971,12201,10603,6.7,Cadillac Records (2008),2008,Cadillac Records,tt1042877,3005365,7.8,6448,Cadillac Records,Adventure,Western,Western
308,975,1111001,21091,5.1,Caligola (1979),1979,Caligola,tt0080491,1300291,6.3,12603,Caligula,Biography,Drama,Drama
309,982,1000110001,12547,4.6,Camp Rock (2008) (TV),2008,Camp Rock,tt1055366,3096161,6.1,11289,Camp Rock,Adult,Drama,Drama
310,995,2211,26501,7.3,Capitalism: A Love Story (2009),2009,Capitalism: A Love Story,tt1232207,3073198,8.3,7666,Capitalism: A Love Story,Comedy,Family,Family
311,996,12210,66748,7.4,Capote (2005),2005,Capote,tt0379725,1422957,7.7,9451,Capote,Documentary,,
312,999,12100,243149,6.8,Captain America: The First Avenger (2011),2011,Captain America: The First Avenger,tt0458339,2138838,5.9,63894,Captain America: The First Avenger,Biography,Crime,Crime
313,1009,2311,117368,7.9,Carlito's Way (1993),1993,Carlito's Way,tt0106519,1292646,8.5,10315,Carlito's Way,Action,Adventure,Adventure
314,1010,12210,66068,7.1,Carnage (2011),2011,Carnage,tt1692486,4913185,8.2,22928,Carnage,Crime,Drama,Drama
315,1012,2310,17139,7.4,Carne trémula (1997),1997,Carne trémula,tt0118819,1302369,7.7,7625,Carne trémula,Comedy,Drama,Drama
316,1014,12211,79122,7.4,Carrie (1976),1976,Carrie,tt0074285,1292664,7.4,8993,Carrie,Drama,,
317,1017,12211,152197,7.2,Cars (2006),2006,Cars,tt0317219,1428878,7.5,60303,Cars,Horror,Thriller,Thriller
