,no,distribution,ratings_count,imdb_rating,title_year,movie_year,movie_title,imdb_id,douban_id,douban_rating,douban_ratings_count,douban_title,genre1,genre2,genre3
377,1158,1212,91822,7.4,Clerks II (2006),2006,Clerks II,tt0424345,1793671,7.2,5583,Clerks II,Biography,Drama,Drama
378,1159,1212,141053,7.8,Clerks. (1994),1994,Clerks.,tt0109445,1298320,8.2,10285,Clerks,Comedy,,
379,1160,112101,165492,6.4,Click (2006),2006,Click,tt0389860,1474185,7.5,67461,Click,Comedy,,
380,1165,2211,99221,7.7,Close Encounters of the Third Kind (1977),1977,Close Encounters of the Third Kind,tt0075860,1298405,7.3,6259,Close Encounters of the Third Kind,Comedy,Drama,Drama
381,1167,1212,171073,7.6,Cloud Atlas (2012),2012,Cloud Atlas,tt1371111,3530403,8.0,182490,Cloud Atlas,Adventure,Drama,Drama
382,1168,13200,83013,7.0,Cloudy with a Chance of Meatballs (2009),2009,Cloudy with a Chance of Meatballs,tt0844471,3102668,7.3,66243,Cloudy with a Chance of Meatballs,Adventure,Drama,Drama
383,1169,12211,217036,7.1,Cloverfield (2008),2008,Cloverfield,tt1060277,2144242,7.3,31362,Cloverfield,Animation,Comedy,Comedy
384,1173,13211,61075,7.1,Coach Carter (2005),2005,Coach Carter,tt0393162,1309017,8.0,10478,Coach Carter,Action,Sci-Fi,Sci-Fi
385,1180,23100,21896,6.5,Coco avant Chanel (2009),2009,Coco avant Chanel,tt1035736,2148257,7.0,45829,Coco avant Chanel,Drama,Sport,Sport
386,1188,12210,90679,7.2,Cold Mountain (2003),2003,Cold Mountain,tt0159365,1307332,7.8,65189,Cold Mountain,Biography,Drama,Drama
387,1190,2310,215843,7.6,Collateral (2004),2004,Collateral,tt0369339,1308762,7.2,25461,Collateral,Drama,Romance,Romance
388,1194,122100,54457,6.2,Colombiana (2011),2011,Colombiana,tt1657507,5028536,6.9,24398,Colombiana,Crime,Drama,Drama
389,1202,23100,6121,6.5,Comme un chef (2012),2012,Comme un chef,tt1911553,6731985,6.8,5948,Comme un Chef,Action,Crime,Crime
390,1206,13100,162208,6.8,Con Air (1997),1997,Con Air,tt0118880,1300618,8.0,77041,Con Air,Comedy,,
391,1208,1221000,63574,5.1,Conan the Barbarian (2011),2011,Conan the Barbarian,tt0816462,2298964,5.2,7560,Conan the Barbarian,Action,Crime,Crime
392,1212,121100,42103,5.6,Confessions of a Shopaholic (2009),2009,Confessions of a Shopaholic,tt1093908,2338058,6.2,38267,Confessions of a Shopaholic,Action,Adventure,Adventure
393,1213,1011110000,17608,4.4,Confessions of a Teenage Drama Queen (2004),2004,Confessions of a Teenage Drama Queen,tt0361467,1308836,5.9,10529,Confessions of a Teenage Drama Queen,Comedy,Romance,Romance
394,1220,12201,161172,6.8,Constantine (2005),2005,Constantine,tt0360486,1309021,7.6,63052,Constantine,Comedy,Family,Family
395,1221,12211,137367,7.3,Contact (1997),1997,Contact,tt0118884,1295647,8.2,23764,Contact,Fantasy,Horror,Horror
396,1222,23100,134031,6.7,Contagion (2011),2011,Contagion,tt1598778,4301043,6.2,25941,Contagion,Drama,Mystery,Mystery
397,1223,123100,72417,6.4,Contraband (2012),2012,Contraband,tt1524137,4074733,6.3,7693,Contraband,Drama,Sci-Fi,Sci-Fi
398,1225,2311,37850,7.7,Control (2007),2007,Control,tt0421082,2078906,7.8,9258,Control,Action,Crime,Crime
399,1226,12211,7789,6.9,Conversations with Other Women (2005),2005,Conversations with Other Women,tt0435623,1472510,7.9,5433,Conversations with Other Women,Biography,Drama,Drama
400,1241,2311,97549,7.6,Coraline (2009),2009,Coraline,tt0327597,1919245,7.9,77466,Coraline,Comedy,Drama,Drama
401,1244,12211,124139,7.4,Corpse Bride (2005),2005,Corpse Bride,tt0121164,1309060,8.0,152137,Corpse Bride,Animation,Fantasy,Fantasy
402,1251,1312,20400,7.7,Cowboy Bebop: Tengoku no tobira (2001),2001,Cowboy Bebop: Tengoku no tobira,tt0275277,1307031,8.8,8695,カウボーイビバップ 天国の扉,Animation,Fantasy,Fantasy
403,1252,122100,124495,6.1,Cowboys & Aliens (2011),2011,Cowboys & Aliens,tt0409847,2210143,5.5,10326,Cowboys & Aliens,Animation,Action,Action
404,1257,12211,141827,7.0,Crank (2006),2006,Crank,tt0479884,1849959,7.3,33803,Crank,Action,Sci-Fi,Sci-Fi
405,1258,112101,72755,6.1,Crank: High Voltage (2009),2009,Crank: High Voltage,tt1121931,3011574,6.6,24938,Crank 2: High Voltage,Action,Crime,Crime
406,1259,111101,31434,6.3,Crash (1996),1996,Crash,tt0115964,1292682,6.8,5086,Crash,Action,Comedy,Comedy
407,1261,13310,46380,7.3,Crazy Heart (2009),2009,Crazy Heart,tt1263670,3182864,7.5,12033,Crazy Heart,Drama,,
408,1262,12311,234175,7.4,"Crazy, Stupid, Love. (2011)",2011,"Crazy, Stupid, Love.",tt1570728,4215790,7.2,36363,"Crazy, Stupid, Love",Drama,Music,Music
409,1276,1222,27979,8.0,"Crna macka, beli macor (1998)",1998,"Crna macka, beli macor",tt0118843,1293236,8.5,5818,"Crna macka, beli macor",Comedy,Drama,Drama
410,1286,12101,113956,6.8,Cruel Intentions (1999),1999,Cruel Intentions,tt0139134,1298299,6.5,6610,Cruel Intentions,Comedy,Music,Music
411,1293,121101,18776,5.7,Cry_Wolf (2005),2005,Cry_Wolf,tt0384286,1422950,7.2,11354,Cry Wolf,Drama,Romance,Romance
412,1295,12310,107754,7.4,Cube (1997),1997,Cube,tt0123755,1305903,8.0,76856,Cube,Drama,Horror,Horror
413,1296,121000,35511,5.6,Cube 2: Hypercube (2002),2002,Cube 2: Hypercube,tt0285492,1305306,6.7,25933,Cube 2: Hypercube,Horror,Mystery,Mystery
414,1297,121000,18697,5.7,Cube Zero (2004) (V),2004,Cube Zero,tt0377713,1316693,6.9,22443,Cube Zero,Horror,Mystery,Mystery
415,1306,2211,13472,7.5,Cyrano de Bergerac (1990),1990,Cyrano de Bergerac,tt0099334,1297000,7.7,5988,Cyrano de Bergerac,Sci-Fi,Horror,Horror
416,1309,2111100001,18818,3.7,D-War (2007),2007,D-War,tt0372873,2009342,3.7,11099,디 워,Biography,Comedy,Comedy
417,1316,11111000,31329,4.7,DOA: Dead or Alive (2006),2006,DOA: Dead or Alive,tt0398913,1858270,4.8,6567,DOA: Dead or Alive,Action,Drama,Drama
418,1317,13201,8414,6.9,Da bing xiao jiang (2010),2010,Da bing xiao jiang,tt1319718,3279107,6.8,82954,大兵小将,Action,Adventure,Adventure
419,1318,1222,15227,8.0,Da hong deng long gao gao gua (1991),1991,Da hong deng long gao gao gua,tt0101640,1293323,8.0,54531,大红灯笼高高挂,Action,Adventure,Adventure
420,1323,112100,9499,6.1,Dagon (2001),2001,Dagon,tt0271027,1299335,6.2,8040,Kiss of the Dragon,Drama,,
421,1326,12201,8631,6.7,Damage (1992),1992,Damage,tt0104237,1300605,7.2,8897,Damage,Action,Crime,Crime
422,1333,1222,57558,7.8,Dancer in the Dark (2000),2000,Dancer in the Dark,tt0168629,1291562,8.3,54028,Dancer in the Dark,Drama,Romance,Romance
423,1334,1221,127961,8.0,Dances with Wolves (1990),1990,Dances with Wolves,tt0099348,1293764,8.8,38224,Dances with Wolves,Crime,Drama,Drama
424,1339,13201,65240,7.0,Danny the Dog (2005),2005,Danny the Dog,tt0342258,1309211,5.9,9861,Unleashed,Adventure,Drama,Drama
425,1340,12310,9255,7.3,Dans la maison (2012),2012,Dans la maison,tt1964624,6537486,8.5,23454,Dans la maison,Action,Crime,Crime
426,1343,1222,12799,7.9,Dare mo shiranai (2004),2004,Dare mo shiranai,tt0408664,1292337,8.8,15602,誰も知らない,Comedy,Drama,Drama
427,1344,1121000,120785,5.3,Daredevil (2003),2003,Daredevil,tt0287978,1307311,5.5,11244,Daredevil,Drama,,
428,1347,1311,114348,7.7,Dark City (1998),1998,Dark City,tt0118929,1292332,7.8,22465,Dark City,Action,Crime,Crime
429,1349,122100,130273,6.3,Dark Shadows (2012),2012,Dark Shadows,tt1077368,2227293,6.2,33847,Dark Shadows,Mystery,Sci-Fi,Sci-Fi
430,1357,1222,114025,8.4,Das Boot (1981),1981,Das Boot,tt0082096,1293909,8.9,7144,Das Boot,Comedy,Horror,Horror
431,1359,2321,55957,7.7,Das Experiment (2001),2001,Das Experiment,tt0250258,1299510,8.0,14588,Das Experiment,Action,Adventure,Adventure
432,1360,232,162637,8.5,Das Leben der Anderen (2006),2006,Das Leben der Anderen,tt0405094,1900841,9.0,113867,Das Leben der Anderen,Drama,Thriller,Thriller
433,1362,1221,36769,7.7,Das weiße Band - Eine deutsche Kindergeschichte (2009),2009,Das weiße Band - Eine deutsche Kindergeschichte,tt1149362,2464346,7.9,13685,Das weiße Band – Eine deutsche Kindergeschichte,Drama,Thriller,Thriller
434,1364,122100,92237,6.3,Date Night (2010),2010,Date Night,tt1279935,3183490,6.8,16205,Date Night,Drama,Mystery,Mystery
435,1367,12211,140584,7.4,Dawn of the Dead (2004),2004,Dawn of the Dead,tt0363547,1309088,7.3,21464,Dawn of the Dead,Comedy,Crime,Crime
436,1368,1322,7025,8.0,Day & Night (2010),2010,Day & Night,tt1620446,4718352,8.5,17246,Day & Night,Action,Horror,Horror
437,1370,1011110000,14333,4.5,Day of the Dead (2008),2008,Day of the Dead,tt0489018,1871840,6.2,7555,Day of the Dead,Animation,Short,Short
438,1371,111000,14163,5.5,Day of the Woman (1978),1978,Day of the Woman,tt0077713,1299265,5.8,9916,Day of the Woman,Action,Horror,Horror
439,1372,122100,78287,6.5,Daybreakers (2009),2009,Daybreakers,tt0433362,1972732,6.7,19426,Daybreakers,Horror,Thriller,Thriller
440,1381,2310,25771,7.5,De rouille et d'os (2012),2012,De rouille et d'os,tt2053425,6843843,7.4,8864,De rouille et d'os,Action,Drama,Drama
441,1390,1212,53459,7.6,Dead Man (1995),1995,Dead Man,tt0112817,1303462,8.2,7698,Dead Man,Drama,Romance,Romance
442,1396,1321,182941,7.9,Dead Poets Society (1989),1989,Dead Poets Society,tt0097165,1291548,8.8,152311,Dead Poets Society,Drama,Fantasy,Fantasy
443,1399,122101,42405,6.0,Dead Silence (2007),2007,Dead Silence,tt0455760,1895120,7.2,54103,Dead Silence,Drama,,
444,1412,12211,147127,7.1,Death Proof (2007),2007,Death Proof,tt1028528,2080007,7.5,15720,Death Proof,Horror,Mystery,Mystery
445,1413,122100,119195,6.3,Death Race (2008),2008,Death Race,tt0452608,2132412,7.1,36338,Death Race,Action,Thriller,Thriller
446,1414,121000,15653,5.6,Death Race 2 (2010) (V),2010,Death Race 2,tt1500491,4005190,5.8,7961,Death Race 2,Action,Sci-Fi,Sci-Fi
447,1416,121001,8322,5.4,Death Race: Inferno (2012) (V),2012,Death Race: Inferno,tt1988591,6972849,5.7,5123,Death Race 3: Inferno,Action,Sci-Fi,Sci-Fi
448,1423,12211,68745,7.3,Death at a Funeral (2007),2007,Death at a Funeral,tt0795368,2003389,8.0,38901,Death at a Funeral,Action,Sci-Fi,Sci-Fi
449,1427,13201,13681,7.1,Death on the Nile (1978),1978,Death on the Nile,tt0077413,1302100,8.4,23888,Death on the Nile,Comedy,,
450,1438,122100,101915,6.0,Deep Impact (1998),1998,Deep Impact,tt0120647,1293131,6.8,16570,Deep Impact,Crime,Drama,Drama
451,1439,121100,20228,5.8,Deep Rising (1998),1998,Deep Rising,tt0118956,1293515,7.1,15645,Deep Rising,Action,Drama,Drama
452,1443,12210,93696,7.1,"Definitely, Maybe (2008)",2008,"Definitely, Maybe",tt0832266,1922152,7.7,32146,"Definitely, Maybe",Action,Adventure,Adventure
453,1444,13200,168544,7.0,Deja Vu (2006),2006,Deja Vu,tt0453467,1789283,7.5,25755,Deja Vu,Comedy,Drama,Drama
454,1446,1311,49155,7.7,Delicatessen (1991),1991,Delicatessen,tt0101700,1306666,8.0,23196,Delicatessen,Action,Sci-Fi,Sci-Fi
455,1455,1223,33512,8.0,Der Himmel über Berlin (1987),1987,Der Himmel über Berlin,tt0093191,1292504,8.4,16710,Der Himmel über Berlin,Comedy,Fantasy,Fantasy
456,1459,1222,163128,8.3,Der Untergang (2004),2004,Der Untergang,tt0363163,1309115,8.5,21833,Der Untergang,Fantasy,Drama,Drama
457,1468,12211,5355,7.1,Desert Flower (2009),2009,Desert Flower,tt1054580,3430271,8.6,25577,Desert Flower,Biography,Drama,Drama
458,1469,13210,99419,7.1,Desperado (1995),1995,Desperado,tt0112851,1293976,7.5,8439,Desperado,Biography,Drama,Drama
459,1473,2311,198699,7.6,Despicable Me (2010),2010,Despicable Me,tt1323594,3287562,8.4,193113,Despicable Me,Action,Crime,Crime
460,1474,1212,77262,7.7,Despicable Me 2 (2013),2013,Despicable Me 2,tt1690953,4915857,8.2,49694,Despicable Me 2,Animation,Comedy,Comedy
461,1476,1213,17514,7.9,Desu nôto (2006),2006,Desu nôto,tt0877057,1916936,8.8,35818,デスノート,Animation,Adventure,Adventure
462,1477,12211,7855,7.3,Desu nôto: The last name (2006),2006,Desu nôto: The last name,tt0810827,1796939,7.5,47205,デスノート the Last name,Animation,Crime,Crime
463,1478,1223,71754,8.3,Det sjunde inseglet (1957),1957,Det sjunde inseglet,tt0050976,1293234,8.3,16350,Det sjunde inseglet,Adventure,Crime,Crime
464,1479,2311,31495,7.6,Detachment (2011),2011,Detachment,tt1683526,5322596,8.7,81940,Detachment,Drama,Fantasy,Fantasy
465,1486,12111,8603,6.8,Deux frères (2004),2004,Deux frères,tt0338512,1309135,8.3,12257,Deux frères,Drama,,
466,1489,122100,74079,6.3,Devil (2010),2010,Devil,tt1314655,3268171,6.2,23087,Devil,Adventure,Drama,Drama
467,1494,23100,5344,6.6,Di Renjie zhi tongtian diguo (2010),2010,Di Renjie zhi tongtian diguo,tt1123373,3412830,6.4,111376,狄仁杰之通天帝国,Horror,Mystery,Mystery
468,1496,1321,63086,8.2,Dial M for Murder (1954),1954,Dial M for Murder,tt0046912,1301231,8.5,9810,Dial M for Murder,Action,Adventure,Adventure
469,1498,121100,5090,5.6,Diario de una ninfómana (2008),2008,Diario de una ninfómana,tt1111890,3564292,6.7,10318,Diario de una ninfómana,Crime,Thriller,Thriller
470,1499,1321,63589,7.8,Diarios de motocicleta (2004),2004,Diarios de motocicleta,tt0318462,1309015,8.4,24633,Diarios de motocicleta,Drama,Romance,Romance
471,1501,122101,21544,6.1,Diary of a Wimpy Kid (2010),2010,Diary of a Wimpy Kid,tt1196141,3003836,6.9,30529,Diary of a Wimpy Kid,Biography,Drama,Drama
472,1503,12101,12735,6.3,Diary of a Wimpy Kid: Rodrick Rules (2011),2011,Diary of a Wimpy Kid: Rodrick Rules,tt1650043,4832564,7.2,10878,Diary of a Wimpy Kid 2: Rodrick Rules,Comedy,Family,Family
473,1508,1001210000,21749,4.5,Did You Hear About the Morgans? (2009),2009,Did You Hear About the Morgans?,tt1314228,3310482,6.0,7199,Did You Hear About the Morgans?,Comedy,Family,Family
474,1509,122100,121983,6.0,Die Another Day (2002),2002,Die Another Day,tt0246460,1303773,6.9,20928,Die Another Day,Comedy,Drama,Drama
475,1510,1211,13415,7.6,Die Blechtrommel (1979),1979,Die Blechtrommel,tt0078875,1292207,8.4,21449,Die Blechtrommel,Action,Adventure,Adventure
476,1513,2310,27552,7.6,Die Fälscher (2007),2007,Die Fälscher,tt0813547,2381810,7.9,15591,Die Fälscher,Drama,War,War
477,1514,1322,382377,8.3,Die Hard (1988),1988,Die Hard,tt0095016,1292697,8.1,31285,Die Hard,Crime,Drama,Drama
478,1515,13200,184788,7.1,Die Hard 2 (1990),1990,Die Hard 2,tt0099423,1300537,7.7,22863,Die Hard 2,Action,Thriller,Thriller
479,1516,2311,206469,7.5,Die Hard: With a Vengeance (1995),1995,Die Hard: With a Vengeance,tt0112864,1299837,7.7,25826,Die Hard: With a Vengeance,Action,Thriller,Thriller
480,1517,2310,47128,7.5,Die Welle (2008),2008,Die Welle,tt1063669,2297265,8.7,63209,Die Welle,Action,Crime,Crime
481,1520,1212,6287,7.5,Die xue jie tou (1990),1990,Die xue jie tou,tt0099426,1295344,8.1,10428,喋血街头,Drama,Thriller,Thriller
482,1526,122100,59962,5.8,Dinner for Schmucks (2010),2010,Dinner for Schmucks,tt0427152,2257738,6.6,7902,Dinner for Schmucks,Crime,Drama,Drama
483,1527,122100,26330,6.3,Dinosaur (2000),2000,Dinosaur,tt0130623,1298694,7.1,8710,Dinosaur,Comedy,,
484,1528,1212,30583,7.9,Dip huet seung hung (1989),1989,Dip huet seung hung,tt0097202,1296519,8.2,20670,喋血双雄,Animation,Adventure,Adventure
485,1542,1221,375532,8.0,District 9 (2009),2009,District 9,tt1136608,3006772,8.2,157337,District 9,Action,Crime,Crime
486,1543,13200,145241,6.8,Disturbia (2007),2007,Disturbia,tt0486822,1946877,6.4,13421,Disturbia,Action,Sci-Fi,Sci-Fi
487,1549,232,443102,8.5,Django Unchained (2012),2012,Django Unchained,tt1853728,6307447,8.5,137472,Django Unchained,Drama,Mystery,Mystery
488,1550,12101,23980,6.5,Dnevnoy dozor (2006),2006,Dnevnoy dozor,tt0409904,1475572,7.3,6794,Дневной дозор,Adventure,Drama,Drama
489,1554,1221000,52194,5.2,Doctor Dolittle (1998),1998,Doctor Dolittle,tt0118998,1298291,6.5,6563,Doctor Dolittle,Action,Fantasy,Fantasy
490,1555,1222,42469,8.0,Doctor Zhivago (1965),1965,Doctor Zhivago,tt0059113,1389949,8.5,6575,Doctor Zhivago,Comedy,Family,Family
491,1557,1321,122104,8.1,Dog Day Afternoon (1975),1975,Dog Day Afternoon,tt0072890,1293374,8.6,18539,Dog Day Afternoon,Drama,History,History
492,1562,1222,79583,7.9,Dogville (2003),2003,Dogville,tt0276919,1298759,8.5,30876,Dogville,Crime,Drama,Drama
493,1563,1212,11011,7.6,Dolls (2002),2002,Dolls,tt0330229,1299809,7.5,12201,Dolls,Drama,,
494,1572,12101,32194,6.6,Don Juan DeMarco (1994),1994,Don Juan DeMarco,tt0112883,1296246,8.0,11522,Don Juan DeMarco,Drama,Romance,Romance
495,1580,2311,156144,7.7,Donnie Brasco (1997),1997,Donnie Brasco,tt0119008,1293731,8.0,22421,Donnie Brasco,Comedy,Drama,Drama
496,1581,1222,386639,8.1,Donnie Darko (2001),2001,Donnie Darko,tt0246578,1306662,7.4,37284,Donnie Darko,Biography,Crime,Crime
497,1583,1121000,67740,5.1,Doom (2005),2005,Doom,tt0419706,1436680,5.7,5881,Doom,Drama,Mystery,Mystery
498,1584,122100,50958,6.0,Doomsday (2008),2008,Doomsday,tt0483607,2028640,5.8,6925,Doomsday,Action,Adventure,Adventure
499,1585,122100,36102,6.2,Dorian Gray (2009),2009,Dorian Gray,tt1235124,3078386,6.7,33188,Dorian Gray,Action,Sci-Fi,Sci-Fi
500,1588,12101,7845,6.7,Dou fo sin (2007),2007,Dou fo sin,tt0992911,2044102,6.7,46766,導火線,,,
501,1607,1123,240152,8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,1322848,8.7,20488,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Action,,
502,1611,12211,100689,7.4,Dracula (1992),1992,Dracula,tt0103874,1293124,7.7,72336,Dracula,Comedy,Sci-Fi,Sci-Fi
503,1614,12100,114603,6.7,Drag Me to Hell (2009),2009,Drag Me to Hell,tt1127180,2361386,6.3,17015,Drag Me to Hell,Drama,Horror,Horror
504,1618,3110000000,39835,3.0,Dragonball Evolution (2009),2009,Dragonball Evolution,tt1098327,2310144,3.5,20522,Dragonball Evolution,Horror,Thriller,Thriller
505,1622,122100,32072,5.8,Dream House (2011),2011,Dream House,tt1462041,3818565,5.8,7523,Dream House,Action,Adventure,Adventure
506,1625,12101,41573,6.5,Dreamgirls (2006),2006,Dreamgirls,tt0443489,1792922,7.5,10680,Dreamgirls,Drama,Mystery,Mystery
507,1626,1212,13827,7.6,Dreams (1990),1990,Dreams,tt0100998,1299112,8.5,13155,夢,Drama,Music,Music
508,1628,12211,124693,7.0,Dredd (2012),2012,Dredd,tt1343727,3387483,6.2,16074,Dredd,Drama,Fantasy,Fantasy
509,1633,1121000,62510,5.5,Drive Angry (2011),2011,Drive Angry,tt1502404,4014405,5.5,19585,Drive Angry 3D,Action,Sci-Fi,Sci-Fi
510,1637,12310,45711,7.4,Driving Miss Daisy (1989),1989,Driving Miss Daisy,tt0097239,1293204,8.2,12171,Driving Miss Daisy,Action,Crime,Crime
511,1650,22100,192713,6.5,Due Date (2010),2010,Due Date,tt1231583,3071469,7.0,30548,Due Date,Comedy,Drama,Drama
512,1653,12211,194660,7.2,Dumb & Dumber (1994),1994,Dumb & Dumber,tt0109686,1296454,7.1,17982,Dumb & Dumber,Comedy,Drama,Drama
513,1655,12211,50452,7.3,Dumbo (1941),1941,Dumbo,tt0033563,1304603,7.8,7940,Dumbo,Comedy,,
514,1657,12211,7515,7.0,Dung che sai duk (1994),1994,Dung che sai duk,tt0109688,1292328,8.5,160011,東邪西毒,Animation,Family,Family
515,1660,2211,10827,7.5,Duo luo tian shi (1995),1995,Duo luo tian shi,tt0112913,1298112,7.8,34607,堕落天使,Action,Drama,Drama
516,1662,122100,33891,6.2,Duplicity (2009),2009,Duplicity,tt1135487,2968611,6.2,7394,Duplicity,Crime,Drama,Drama
517,1670,1211,198984,7.9,E.T. the Extra-Terrestrial (1982),1982,E.T. the Extra-Terrestrial,tt0083866,1294638,8.5,95934,E.T.: The Extra-Terrestrial,Crime,Romance,Romance
518,1671,23100,115215,6.6,Eagle Eye (2008),2008,Eagle Eye,tt1059786,2264715,6.9,26902,Eagle Eye,Adventure,Family,Family
519,1675,124,7289,8.3,Earthlings (2005),2005,Earthlings,tt0358456,2328234,9.4,5660,Earthlings,Action,Mystery,Mystery
520,1679,2311,144654,7.7,Eastern Promises (2007),2007,Eastern Promises,tt0765443,1892530,7.3,10148,Eastern Promises,Documentary,Horror,Horror
521,1680,12211,161128,7.1,Easy A (2010),2010,Easy A,tt1282140,3213173,6.5,27828,Easy A,Crime,Mystery,Mystery
522,1681,12211,55961,7.3,Easy Rider (1969),1969,Easy Rider,tt0064276,1297646,8.4,5448,Easy Rider,Comedy,Romance,Romance
523,1682,22100,12278,6.6,Easy Virtue (2008),2008,Easy Virtue,tt0808244,3007819,7.4,8551,Easy Virtue,Drama,,
524,1683,111000,41450,5.4,Eat Pray Love (2010),2010,Eat Pray Love,tt0879870,2033822,7.0,58091,Eat Pray Love,Comedy,Romance,Romance
525,1684,121000,13465,5.7,Echelon Conspiracy (2009),2009,Echelon Conspiracy,tt1124039,3346995,6.0,9281,Echelon Conspiracy,Drama,Romance,Romance
526,1686,1221,114366,8.0,Ed Wood (1994),1994,Ed Wood,tt0109707,1293683,8.3,12930,Ed Wood,Action,Crime,Crime
527,1691,12200,37016,6.8,Eden Lake (2008),2008,Eden Lake,tt1020530,3011997,7.3,25362,Eden Lake,Biography,Comedy,Comedy
528,1692,23100,57081,6.6,Edge of Darkness (2010),2010,Edge of Darkness,tt1226273,3073647,6.5,6435,Edge of Darkness,Horror,Thriller,Thriller
529,1697,1312,246698,8.0,Edward Scissorhands (1990),1990,Edward Scissorhands,tt0099487,1292370,8.7,313583,Edward Scissorhands,Crime,Drama,Drama
530,1698,124,5119,7.6,Eega (2012),2012,Eega,tt2258337,11499033,7.3,14756,Eega,Drama,Fantasy,Fantasy
531,1700,12211,33304,7.2,Eight Below (2006),2006,Eight Below,tt0397313,1477448,8.3,33466,Eight Below,Comedy,Drama,Drama
532,1705,12211,5972,7.0,Ekusu makina (2007),2007,Ekusu makina,tt1043842,2123782,7.5,5650,アップルシード EX MACHINA,Adventure,Drama,Drama
533,1714,1222,303273,8.3,El laberinto del fauno (2006),2006,El laberinto del fauno,tt0457430,1767042,7.7,82313,El laberinto del fauno,Animation,Action,Action
534,1717,2311,88595,7.5,El orfanato (2007),2007,El orfanato,tt0464141,2122766,7.3,32319,El orfanato,Drama,Fantasy,Fantasy
535,1718,1222,71060,8.2,El secreto de sus ojos (2009),2009,El secreto de sus ojos,tt1305806,4066125,8.3,36481,El secreto de sus ojos,Drama,Mystery,Mystery
536,1725,12211,55795,7.2,Elephant (2003),2003,Elephant,tt0363589,1292272,7.9,43341,Elephant,Drama,Mystery,Mystery
537,1728,2311,57850,7.5,Elizabeth (1998),1998,Elizabeth,tt0127536,1296223,7.7,14227,Elizabeth,Crime,Drama,Drama
538,1729,13100,41105,6.8,Elizabeth: The Golden Age (2007),2007,Elizabeth: The Golden Age,tt0414055,1827042,7.1,10807,Elizabeth: The Golden Age,Biography,Drama,Drama
539,1730,112101,46910,6.3,Elizabethtown (2005),2005,Elizabethtown,tt0368709,1419933,7.3,31413,Elizabethtown,Biography,Drama,Drama
540,1731,122101,29266,6.2,Ella Enchanted (2004),2004,Ella Enchanted,tt0327679,1304038,6.4,31208,Ella Enchanted,Comedy,Drama,Drama
541,1743,2311,62931,7.7,Empire of the Sun (1987),1987,Empire of the Sun,tt0092965,1299811,7.8,9119,Empire of the Sun,Comedy,Family,Family
542,1746,2311,15947,7.5,En kongelig affære (2012),2012,En kongelig affære,tt1276419,3179741,6.8,5340,En kongelig affære,Drama,History,History
543,1747,12211,102003,7.2,Enchanted (2007),2007,Enchanted,tt0461770,1971111,7.0,31567,Enchanted,Drama,History,History
544,1751,2311,107420,7.6,End of Watch (2012),2012,End of Watch,tt1855199,6128922,7.8,9975,End of Watch,Comedy,Family,Family
545,1754,2311,125491,7.5,Enemy at the Gates (2001),2001,Enemy at the Gates,tt0215750,1301726,8.2,60268,Enemy at the Gates,Crime,Drama,Drama
546,1755,13200,137784,7.2,Enemy of the State (1998),1998,Enemy of the State,tt0120660,1297544,7.9,54411,Enemy of the State,Drama,History,History
547,1756,1222,9342,7.7,English Vinglish (2012),2012,English Vinglish,tt2181931,10876425,8.3,5308,English Vinglish,Action,Crime,Crime
548,1760,13200,7216,6.7,"Ensemble, c'est tout (2007)",2007,"Ensemble, c'est tout",tt0792965,1929461,7.6,18953,"Ensemble, c'est tout",Comedy,Drama,Drama
549,1763,1114,12444,6.8,Enthiran (2010),2010,Enthiran,tt1305797,3262091,7.1,10291,Endhiran,Drama,Romance,Romance
550,1764,122100,64742,6.1,Entrapment (1999),1999,Entrapment,tt0137494,1300069,7.6,60731,Entrapment,Action,Adventure,Adventure
551,1767,22101,31310,6.6,Epic (2013),2013,Epic,tt0848537,3263814,7.3,6981,Epic,Action,Crime,Crime
552,1769,2211,189200,7.6,Equilibrium (2002),2002,Equilibrium,tt0238380,1305566,7.4,15446,Equilibrium,Animation,Adventure,Adventure
553,1770,1111000,78990,5.1,Eragon (2006),2006,Eragon,tt0449010,1433678,5.5,15053,Eragon,Action,Drama,Drama
554,1771,122100,60869,5.9,Eraser (1996),1996,Eraser,tt0116213,1298635,7.1,14643,Eraser,Action,Adventure,Adventure
555,1774,13210,97042,7.2,Erin Brockovich (2000),2000,Erin Brockovich,tt0195685,1293050,8.1,30955,Erin Brockovich,Action,Mystery,Mystery
556,1787,1223,425231,8.4,Eternal Sunshine of the Spotless Mind (2004),2004,Eternal Sunshine of the Spotless Mind,tt0338013,1308777,8.4,88150,Eternal Sunshine of the Spotless Mind,Biography,Drama,Drama
557,1789,12101,117420,6.5,EuroTrip (2004),2004,EuroTrip,tt0356150,1308773,7.0,21922,EuroTrip,Drama,Romance,Romance
558,1794,1221000,85520,5.4,Evan Almighty (2007),2007,Evan Almighty,tt0413099,1867332,6.3,20338,Evan Almighty,Adventure,Comedy,Comedy
